"","LATITUDE","LONGITUDE","MED"
"1",37.092917,-88.4635,96.10077598704
"2",37.126957,-89.269546,51.1733229516
"3",37.134564,-88.494282,106.65735951696
"4",37.136383,-88.459678,98.52313043112
"5",37.140075,-88.461973,59.20020044112
"6",37.146687,-89.250949,77.2098918588
"7",37.151545,-89.163875,110.37592323552
"8",37.15504,-88.601752,89.16013915968
"9",37.156722,-88.489261,81.37241918016
"10",37.157152,-89.24911,118.499715756
"11",37.157629,-88.531504,119.9580918588
"12",37.157945,-89.192871,116.19158687976
"13",37.158085,-89.216088,90.37466968464
"14",37.158525,-88.483481,123.9729165444
"15",37.158626,-88.461949,110.61253206888
"16",37.160406,-88.491593,88.48853363472
"17",37.160504,-88.557621,97.8715050948
"18",37.161361,-89.177659,118.94802327696
"19",37.164059,-88.454877,114.84392029392
"20",37.164957,-89.404224,90.37834386576
"21",37.170592,-89.26904,56.94225453792
"22",37.174141,-89.401871,116.22841251096
"23",37.174167,-89.397304,117.70951282536
"24",37.174184,-89.395014,122.05832643912
"25",37.175624,-89.230559,80.78032506336
"26",37.175685,-88.568006,112.7876272056
"27",37.17596,-89.408653,130.05376399152
"28",37.175994,-89.397274,102.85082908584
"29",37.177052,-88.601704,108.41997750048
"30",37.177391,-88.757193,111.0726248952
"31",37.179083,-88.511559,145.29388490568
"32",37.179098,-88.509151,130.70913794112
"33",37.180717,-88.463879,115.26657356088
"34",37.181117,-88.624733,87.46244744712
"35",37.182613,-89.391221,108.17439249
"36",37.185185,-89.38327,110.43085941216
"37",37.186475,-88.504265,114.34566233184
"38",37.186858,-89.403965,122.91835767816
"39",37.186858,-89.126107,119.92448458032
"40",37.187218,-89.075935,107.4485949576
"41",37.188662,-89.39933,115.9666145484
"42",37.189378,-89.180495,109.47490846656
"43",37.192289,-88.700483,95.85740479992
"44",37.1942,-88.705044,59.6894543064
"45",37.196083,-88.477519,103.080089496
"46",37.197783,-88.4564,94.87597632336
"47",37.198718,-89.39805,134.59092891768
"48",37.198808,-88.564504,122.83183270008
"49",37.200286,-89.096085,96.85141852944
"50",37.20327,-89.401456,113.79924917016
"51",37.203533,-89.433307,104.525238498
"52",37.20356,-89.435547,117.4424593488
"53",37.204465,-89.080938,117.0723237924
"54",37.204772,-89.081972,129.18898887576
"55",37.206433,-88.527768,135.60764823552
"56",37.206634,-88.608425,54.0469522056
"57",37.210438,-89.05613,131.90390221656
"58",37.210654,-89.387488,135.09338196408
"59",37.211418,-89.100272,122.5428456936
"60",37.212536,-89.435418,115.79904337224
"61",37.213218,-88.685492,89.20146686976
"62",37.213278,-89.163384,125.28904087176
"63",37.213778,-88.566037,109.69416951648
"64",37.215612,-88.763837,61.14669557784
"65",37.215663,-88.52067,143.53040186928
"66",37.216133,-88.873433,58.11882456984
"67",37.217926,-89.040819,62.79744132384
"68",37.21795,-88.779834,56.91890713224
"69",37.218306,-88.631221,87.83644320408
"70",37.219123,-88.566855,105.52301946408
"71",37.219467,-89.081097,124.59939923352
"72",37.219636,-89.424072,94.20312437976
"73",37.222906,-88.496645,143.51748170208
"74",37.223509,-88.695849,88.80775137576
"75",37.223526,-88.810098,88.66089520008
"76",37.224879,-89.179667,103.3311625524
"77",37.226599,-88.496642,152.27185897104
"78",37.227174,-88.807661,106.3360396008
"79",37.228126,-88.893302,79.83583389672
"80",37.229176,-88.92922,72.42342122856
"81",37.229913,-88.89095,86.51324955888
"82",37.231314,-88.973053,77.48014512576
"83",37.232403,-89.453341,115.61250592464
"84",37.232639,-88.711764,98.0487501048
"85",37.233313,-89.303127,108.26835885528
"86",37.23335,-88.897283,76.41481477992
"87",37.233707,-88.900008,87.06399734232
"88",37.233806,-88.904584,89.51104796256
"89",37.235068,-89.298576,90.14336287776
"90",37.236177,-89.412328,107.57724756288
"91",37.237459,-89.00594,77.34444176496
"92",37.23781,-88.994006,128.83045260528
"93",37.238115,-88.711741,104.43249066216
"94",37.238454,-88.853956,69.71388428544
"95",37.238661,-89.296332,99.809824002
"96",37.2392,-88.607333,121.01244608232
"97",37.239608,-88.743501,66.69491505288
"98",37.239912,-89.393808,120.87765431736
"99",37.241649,-88.793478,80.72337040968
"100",37.241677,-88.822113,64.57147257384
"101",37.243517,-89.391453,138.4037938548
"102",37.244904,-89.089641,65.43027598704
"103",37.244905,-88.665816,134.74393351896
"104",37.246948,-88.502348,115.63840203744
